A,B,C,D
17.5,0.0,400.0,0.0
1.0,29.0,20.089999999403954,338.089999999404
2.0,3.0,25.160000007152558,78.15000000178814
3.0,29.0,30.03000000074506,338.0399999986589
4.0,4.0,35.05999999821186,88.23999999046326
5.0,3.0,40.29000000238418,78.32000000357628
6.0,29.0,45.359999995231625,338.01999999910595
7.0,25.0,50.320000003576276,298.10999999523165
8.0,8.0,55.32999999403953,128.35999999523165
9.0,8.0,59.99999999955296,128.01999999910595
10.0,8.0,65.03000000074506,128.05999999821188
11.0,17.0,70.1899999934435,218.35999999523162
12.0,21.0,75.16999999761582,258.26999999165537
13.0,29.0,80.25000001072884,338.3699999856949
14.0,0.0,85.29000000238419,48.31000001311302
15.0,19.0,90.0999999973178,238.1999999988079
16.0,1.0,95.16999999761582,58.36999998569488
17.0,1.0,100.23,58.150000001788136
18.0,3.0,105.28000001192093,78.16999999761582
19.0,35.0,110.23999999046326,398.13999999642374
20.0,11.0,115.12000000059605,158.050000000298
21.0,35.0,120.35000000476838,397.9899999997765
22.0,23.0,125.18000000298024,278.31000001311304
23.0,36.0,130.23999999046325,408.35999999523165
24.0,4.0,135.29000000238418,88.23999999046326
25.0,39.0,140.09999999731778,438.1300000059605
26.0,7.0,144.98999999977647,118.29999999284745
27.0,27.0,150.18000000298022,318.34000001430513
28.0,17.0,155.18999999344348,218.310000013113
29.0,9.0,160.1399999964237,138.01999999910592
30.0,6.0,164.98999999977647,108.12000000059605
31.0,29.0,170.310000013113,338.32999999403955
32.0,26.0,174.99999999955295,308.26999999165537
33.0,37.0,179.99999999955295,418.32999999403955
34.0,23.0,185.0800000014901,278.08000000149013
35.0,17.0,190.03000000074505,218.32000000357627
36.0,2.0,195.0800000014901,68.0399999986589
37.0,15.0,200.29000000238418,198.35999999523162
38.0,32.0,205.00999999932944,368.13999999642374
39.0,8.0,209.99999999955295,128.05000000029804
40.0,11.0,215.05999999821185,158.35999999523162
41.0,7.0,220.09999999731778,118.10999999523163
42.0,10.0,225.15000000178813,148.310000013113
43.0,0.0,230.3400000143051,48.26000000119209
44.0,21.0,235.00999999932944,257.98
45.0,29.0,240.29000000238418,337.98
46.0,39.0,245.01999999910592,438.35999999523165
47.0,15.0,250.18999999344348,198.35000000476836
48.0,35.0,255.29000000238418,398.05000000029804
49.0,18.0,260.25000001072885,228.35999999523162
50.0,8.0,265.35999999523165,128.13999999642374
51.0,20.0,270.3699999856949,248.18999999344348
52.0,27.0,274.9899999997765,318.12000000059606
53.0,8.0,280.13999999642374,128.19999999880793
54.0,0.0,285.18000000298025,48.109999995231625
55.0,33.0,290.29999999284746,378.3200000035763
56.0,24.0,295.2399999904633,288.16999999761583
57.0,17.0,300.26999999165537,218.23999999046325
58.0,18.0,305.1999999988079,228.23
59.0,36.0,310.35999999523165,408.1999999988079
60.0,38.0,315.18000000298025,428.05000000029804
61.0,2.0,319.999999999553,68.00999999932945
62.0,11.0,325.23,158.03999999865889
63.0,21.0,330.13999999642374,258.0999999973178
64.0,25.0,335.23,298.0399999986589
65.0,27.0,340.3699999856949,318.2900000023842
66.0,36.0,345.0300000007451,408.23
67.0,25.0,350.1899999934435,298.01999999910595
68.0,18.0,355.2199999946356,228.03999999865889
69.0,31.0,360.16999999761583,358.3699999856949
70.0,16.0,365.23,208.1699999976158
71.0,28.0,370.34000001430513,328.21000000417234
72.0,39.0,375.16999999761583,438.13999999642374
73.0,38.0,380.3200000035763,428.26999999165537
74.0,36.0,385.08000000149013,408.23
75.0,5.0,390.0700000035763,98.18000000298024
76.0,22.0,395.089999999404,268.1300000059605
77.0,19.0,400.12000000059606,238.16000000715255
78.0,17.0,405.00999999932947,218.23
79.0,4.0,410.13999999642374,88.00999999932945
80.0,22.0,415.10999999523165,268.29999999284746
81.0,8.0,420.0599999982119,128.18000000298025
82.0,19.0,425.2900000023842,238.310000013113
83.0,22.0,430.0599999982119,268.2199999946356
84.0,10.0,435.10999999523165,147.98
85.0,14.0,440.2600000011921,188.03999999865889
86.0,21.0,445.16999999761583,258.35999999523165
87.0,32.0,450.21000000417234,368.2199999946356
88.0,27.0,455.13999999642374,318.34000001430513
89.0,9.0,460.3699999856949,138.32000000357627
90.0,10.0,465.1300000059605,148.35999999523162
91.0,10.0,470.0999999973178,148.05999999821185
92.0,17.0,475.2199999946356,217.98
93.0,33.0,480.35999999523165,378.15000000178816
94.0,25.0,485.00999999932947,297.999999999553
95.0,2.0,490.1999999988079,68.25000001072884
96.0,30.0,495.13999999642374,348.1999999988079
97.0,28.0,500.2600000011921,328.16999999761583
98.0,14.0,505.3699999856949,188.18000000298022
99.0,25.0,510.13999999642374,298.3200000035763
100.0,23.0,515.1200000005961,278.0700000035763
